vcc	V(vce)	I(R1)
Step Information: Vbb=800m  (Run: 1/4)
2.400000000000001e+000	7.783463e-002	2.322165e-003
2.500000000000001e+000	7.947629e-002	2.420524e-003
2.600000000000001e+000	8.108880e-002	2.518911e-003
2.700000000000001e+000	8.267511e-002	2.617325e-003
2.800000000000001e+000	8.423797e-002	2.715762e-003
2.900000000000001e+000	8.577987e-002	2.814220e-003
3.000000000000001e+000	8.730312e-002	2.912697e-003
3.100000000000001e+000	8.880991e-002	3.011190e-003
3.200000000000002e+000	9.030225e-002	3.109698e-003
3.300000000000002e+000	9.178207e-002	3.208218e-003
3.400000000000002e+000	9.325119e-002	3.306749e-003
3.500000000000002e+000	9.471136e-002	3.405289e-003
3.600000000000002e+000	9.616424e-002	3.503836e-003
3.700000000000002e+000	9.761146e-002	3.602389e-003
3.800000000000002e+000	9.905461e-002	3.700945e-003
3.900000000000002e+000	1.004952e-001	3.799505e-003
4.000000000000002e+000	1.019349e-001	3.898065e-003
4.100000000000001e+000	1.033751e-001	3.996625e-003
4.200000000000001e+000	1.048173e-001	4.095183e-003
4.300000000000001e+000	1.062632e-001	4.193737e-003
4.400000000000000e+000	1.077143e-001	4.292286e-003
4.500000000000000e+000	1.091722e-001	4.390828e-003
4.600000000000000e+000	1.106385e-001	4.489361e-003
4.699999999999999e+000	1.121150e-001	4.587885e-003
4.799999999999999e+000	1.136034e-001	4.686397e-003
4.899999999999999e+000	1.151057e-001	4.784894e-003
4.999999999999998e+000	1.166238e-001	4.883376e-003
5.099999999999998e+000	1.181599e-001	4.981840e-003
5.199999999999998e+000	1.197161e-001	5.080284e-003
5.299999999999997e+000	1.212949e-001	5.178705e-003
5.399999999999997e+000	1.228990e-001	5.277101e-003
5.499999999999996e+000	1.245313e-001	5.375469e-003
5.599999999999996e+000	1.261947e-001	5.473805e-003
5.699999999999996e+000	1.278929e-001	5.572107e-003
5.799999999999995e+000	1.296297e-001	5.670371e-003
5.899999999999995e+000	1.314093e-001	5.768591e-003
5.999999999999995e+000	1.332366e-001	5.866763e-003
6.099999999999994e+000	1.351170e-001	5.964883e-003
6.199999999999994e+000	1.370568e-001	6.062943e-003
6.299999999999994e+000	1.390631e-001	6.160937e-003
6.399999999999993e+000	1.411442e-001	6.258856e-003
6.499999999999993e+000	1.433098e-001	6.356690e-003
6.599999999999993e+000	1.455712e-001	6.454429e-003
6.699999999999992e+000	1.479420e-001	6.552058e-003
6.799999999999992e+000	1.504387e-001	6.649561e-003
6.899999999999992e+000	1.530812e-001	6.746919e-003
6.999999999999991e+000	1.558944e-001	6.844106e-003
7.099999999999991e+000	1.589095e-001	6.941090e-003
7.199999999999990e+000	1.621669e-001	7.037833e-003
7.299999999999990e+000	1.657194e-001	7.134281e-003
7.399999999999990e+000	1.696385e-001	7.230361e-003
7.499999999999989e+000	1.740238e-001	7.325976e-003
7.599999999999989e+000	1.790203e-001	7.420980e-003
7.699999999999989e+000	1.848490e-001	7.515151e-003
7.799999999999988e+000	1.918703e-001	7.608130e-003
7.899999999999988e+000	2.007237e-001	7.699276e-003
