Freq.	V(vo)
6.76082975391979e+004	6.16339786745044e-003,-6.77935894378989e-002
6.91830970918933e+004	5.88817174116326e-003,-6.62748713256150e-002
7.07945784384134e+004	5.62514310786712e-003,-6.47891078388533e-002
7.24435960074987e+004	5.37377950030842e-003,-6.33356548986020e-002
7.41310241300914e+004	5.13357098689678e-003,-6.19138761986587e-002
7.58577575029180e+004	4.90402928021144e-003,-6.05231434680456e-002
7.76247116628688e+004	4.68468687520747e-003,-5.91628367002967e-002
7.94328234724277e+004	4.47509621665429e-003,-5.78323443519562e-002
8.12830516164095e+004	4.27482889528978e-003,-5.65310635124887e-002
8.31763771102667e+004	4.08347487213126e-003,-5.52584000476765e-002
8.51138038202372e+004	3.90064173034988e-003,-5.40137687184541e-002
8.70963589956076e+004	3.72595395408671e-003,-5.27965932770137e-002
8.91250938133741e+004	3.55905223356520e-003,-5.16063065419030e-002
9.12010839355905e+004	3.39959279583775e-003,-5.04423504537334e-002
9.33254300796986e+004	3.24724676049008e-003,-4.93041761130131e-002
9.54992586021431e+004	3.10169951961814e-003,-4.81912438015264e-002
9.77237220955805e+004	2.96265014138693e-003,-4.71030229885914e-002
9.99999999999995e+004	2.82981079647749e-003,-4.60389923234391e-002
1.02329299228075e+005	2.70290620672951e-003,-4.49986396148817e-002
1.04712854805089e+005	2.58167311528928e-003,-4.39814617993579e-002
1.07151930523760e+005	2.46585977757808e-003,-4.29869648983722e-002
1.09647819614318e+005	2.35522547240317e-003,-4.20146639662785e-002
1.12201845430196e+005	2.24954003254177e-003,-4.10640830292937e-002
1.14815362149688e+005	2.14858339413906e-003,-4.01347550165675e-002
1.17489755493952e+005	2.05214516427187e-003,-3.92262216840763e-002
1.20226443461741e+005	1.96002420604267e-003,-3.83380335320593e-002
1.23026877081237e+005	1.87202824058091e-003,-3.74697497166622e-002
1.25892541179416e+005	1.78797346534329e-003,-3.66209379564073e-002
1.28824955169313e+005	1.70768418811847e-003,-3.57911744340668e-002
1.31825673855640e+005	1.63099247615673e-003,-3.49800436944720e-002
1.34896288259165e+005	1.55773781986037e-003,-3.41871385387545e-002
1.38038426460288e+005	1.48776681048601e-003,-3.34120599154784e-002
1.41253754462275e+005	1.42093283132531e-003,-3.26544168090883e-002
1.44543977074592e+005	1.35709576184670e-003,-3.19138261260666e-002
1.47910838816820e+005	1.29612169429595e-003,-3.11899125791633e-002
1.51356124843620e+005	1.23788266226920e-003,-3.04823085700341e-002
1.54881661891247e+005	1.18225638078759e-003,-2.97906540705959e-002
1.58489319246110e+005	1.12912599741784e-003,-2.91145965033862e-002
1.62181009735892e+005	1.07837985399838e-003,-2.84537906211866e-002
1.65958690743755e+005	1.02991125854546e-003,-2.78078983861536e-002
1.69824365246173e+005	9.83618266928515e-004,-2.71765888486782e-002
1.73780082874937e+005	9.39403473918200e-004,-2.65595380261749e-002
1.77827941003891e+005	8.97173813224838e-004,-2.59564287819896e-002
1.81970085860997e+005	8.56840366158688e-004,-2.53669507045918e-002
1.86208713666286e+005	8.18318178556922e-004,-2.47907999872105e-002
1.90546071796324e+005	7.81526085635356e-004,-2.42276793080503e-002
1.94984459975803e+005	7.46386544435711e-004,-2.36772977112188e-002
1.99526231496887e+005	7.12825473551648e-004,-2.31393704884799e-002
2.04173794466952e+005	6.80772099828884e-004,-2.26136190619376e-002
2.08929613085403e+005	6.50158811746394e-004,-2.20997708677448e-002
2.13796208950222e+005	6.20921019197131e-004,-2.15975592409227e-002
2.18776162394954e+005	5.92997019397626e-004,-2.11067233013648e-002
2.23872113856833e+005	5.66327868666568e-004,-2.06270078410945e-002
2.29086765276776e+005	5.40857259822722e-004,-2.01581632128354e-002
2.34422881531991e+005	5.16531404962532e-004,-1.96999452199469e-002
2.39883291901948e+005	4.93298923387398e-004,-1.92521150077714e-002
2.45470891568501e+005	4.71110734459886e-004,-1.88144389564331e-002
2.51188643150956e+005	4.49919955177119e-004,-1.83866885751224e-002
2.57039578276885e+005	4.29681802258239e-004,-1.79686403978956e-002
2.63026799189536e+005	4.10353498551180e-004,-1.75600758810138e-002
2.69153480392690e+005	3.91894183571997e-004,-1.71607813018414e-002
2.75422870333815e+005	3.74264827997772e-004,-1.67705476593190e-002
2.81838293126444e+005	3.57428151941515e-004,-1.63891705760252e-002
2.88403150312659e+005	3.41348546844684e-004,-1.60164502018328e-002
2.95120922666637e+005	3.25992000829811e-004,-1.56521911191683e-002
3.01995172040200e+005	3.11326027362349e-004,-1.52962022498742e-002
3.09029543251357e+005	2.97319597077239e-004,-1.49482967636773e-002
3.16227766016836e+005	2.83943072631784e-004,-1.46082919882579e-002
3.23593656929626e+005	2.71168146452315e-004,-1.42760093209167e-002
3.31131121482589e+005	2.58967781247764e-004,-1.39512741418335e-002
3.38844156139200e+005	2.47316153168688e-004,-1.36339157289074e-002
3.46736850452529e+005	2.36188597495466e-004,-1.33237671741700e-002
3.54813389233573e+005	2.25561556744399e-004,-1.30206653017598e-002
3.63078054770099e+005	2.15412531085210e-004,-1.27244505874447e-002
3.71535229097170e+005	2.05720030968048e-004,-1.24349670796780e-002
3.80189396320558e+005	1.96463531862488e-004,-1.21520623221744e-002
3.89045144994278e+005	1.87623431015228e-004,-1.18755872779881e-002
3.98107170553494e+005	1.79181006137265e-004,-1.16053962550771e-002
4.07380277804110e+005	1.71118375935150e-004,-1.13413468333353e-002
4.16869383470332e+005	1.63418462404697e-004,-1.10832997930750e-002
4.26579518801589e+005	1.56064954809025e-004,-1.08311190449396e-002
4.36515832240163e+005	1.49042275266257e-004,-1.05846715612281e-002
4.46683592150960e+005	1.42335545875444e-004,-1.03438273086107e-002
4.57088189614872e+005	1.35930557312403e-004,-1.01084591822158e-002
4.67735141287195e+005	1.29813738830184e-004,-9.87844294106795e-003
4.78630092322635e+005	1.23972129601694e-004,-9.65365714485491e-003
4.89778819368442e+005	1.18393351344792e-004,-9.43398309200444e-003
5.01187233627268e+005	1.13065582172780e-004,-9.21930475904846e-003
5.12861383991361e+005	1.07977531615714e-004,-9.00950874125379e-003
5.24807460249768e+005	1.03118416760385e-004,-8.80448419449845e-003
5.37031796370248e+005	9.84779394591058e-005,-8.60412277837171e-003
5.49540873857620e+005	9.40462645596477e-005,-8.40831860047713e-003
5.62341325190345e+005	8.98139991107689e-005,-8.21696816191699e-003
5.75439937337152e+005	8.57721724998043e-005,-8.02997030393722e-003
5.88843655355584e+005	8.19122174807000e-005,-7.84722615571164e-003
6.02559586074353e+005	7.82259520527251e-005,-7.66863908324454e-003
6.16595001861477e+005	7.47055621518571e-005,-7.49411463937108e-003
6.30957344480188e+005	7.13435851185201e-005,-7.32356051483443e-003
